File name,label,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,Spectral_Centroid,Spectral_Bandwidth,Spectral_Rolloff,Zero_Crossing_Rate,RMS_Energy,D1_Mean,D1_Std,D2_Mean,D2_Std,D3_Mean,D3_Std,A3_Mean,A3_Std,RMS_Envelope_Mean,Hilbert_Envelope_Mean,Max,Mean,Std,Median,Energy,Entropy,MaxFreq1,MaxFreq2,Unnamed: 38,Max.1,Mean.1,Std.1,Median.1,Energy.1,Entropy.1,MaxFreq1.1,MaxFreq2.1,Bispectrum Matrix,source_file
,healthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002005785757019435,109h_denoised_bispectrum.csv
,healthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.299492115873468,0.052594507127908176,0.2253680576667288,0.0,3537.382567605332,8.728367773561747,1.0,75.0,,,,,,,,,,,109h_denoised_bispectrum_features.csv
,healthy,-140.03809286249714,43.63645076237257,-12.954214525583549,35.32420535952949,-13.35104098846215,28.35260311906837,-8.570134561673107,-1.133232302205895,2.961437268751613,14.490941010461626,-3.904806945716072,12.92715286621544,1.9792800730895628,7354.6015514169085,5170.971204130055,13148.18763326226,0.102489089152452,0.0753897354006767,-3.870191844616574e-06,0.0324205707841059,-0.0001630001693228,0.108427351083222,-9.858214898019152e-05,0.0694777693049801,0.0005881498184718,0.123436665404662,0.0685554295778274,0.0701499581336975,,,,,,,,,,,,,,,,,,,109h_denoised_engine_features.csv
,healthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013471051425295467,110h_denoised_bispectrum.csv
,healthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.175677607309598,0.04743683337543826,0.19832968757841665,0.0,2746.6422579409823,8.758212308565284,75.0,76.0,,,,,,,,,,,110h_denoised_bispectrum_features.csv
,healthy,-138.95745562204925,42.053978625881925,-14.248590195356565,34.75218097009051,-12.182175888545071,28.95777424082911,-5.900973098632361,1.2117279384284532,5.633245952431631,16.20095365987638,-2.008342039787764,15.463064830838777,3.3642272984731405,7404.213313230859,5195.087342011825,13236.690431769724,0.100924298707356,0.0752206966280937,2.987936096130207e-05,0.0321916476020273,-5.5068881772245866e-05,0.1109077099694648,9.577089590775556e-05,0.0719874985880399,0.0005345450741071,0.1143385992219278,0.0683130547404289,0.0693088397383689,,,,,,,,,,,,,,,,,,,110h_denoised_engine_features.csv
,healthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010992014525461283,111h_denoised_bispectrum.csv
,healthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.333258841227716,0.04828421874156637,0.2256267055849795,0.0,3516.3679194991314,8.660796851628218,76.0,76.0,,,,,,,,,,,111h_denoised_bispectrum_features.csv
,healthy,-145.8678171992753,42.79029856558019,-9.763422404396865,33.232753957011404,-8.307866709759441,28.227543744341105,-4.316433102378977,2.3182478008754366,6.104033637003847,15.897589649414288,-3.20562175854987,14.111754107759207,2.300498142433933,7492.112867334414,5310.432685812632,13554.121135394456,0.0979081989605543,0.0741585940122604,2.7570656482320574e-05,0.0361843016443034,0.0001493386067399,0.1009963232385795,-0.0003099487391968,0.0665475249194773,0.0004151949236299,0.141812862049466,0.0675351619720459,0.0700331181287765,,,,,,,,,,,,,,,,,,,111h_denoised_engine_features.csv
,healthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0015980937609003584,112h_denoised_bispectrum.csv
,healthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.357929928096883,0.011517891272133316,0.11532991671879363,0.0,887.279248565533,7.955763433160654,1.0,69.0,,,,,,,,,,,112h_denoised_bispectrum_features.csv
,healthy,-214.41272858246023,82.04646259016504,-14.796564187230056,39.893766913969785,-16.384487150842542,21.60123365432844,2.44500133564144,5.336585598131281,-2.5500077554431586,15.067940969190897,-8.205406274120431,11.84203050394206,1.027456158540317,5715.297828789973,5073.274021498854,11126.715751599148,0.0871826692430703,0.0330644622445106,-2.500077721431275e-06,0.0065285099281033,-3.779495735157217e-05,0.0449336126450003,-0.0008101337648415,0.0464549412328568,-0.0005192936648505,0.0825475674161786,0.0324344374239444,0.0394412912428379,,,,,,,,,,,,,,,,,,,112h_denoised_engine_features.csv
,healthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0009954041221151197,113h_denoised_bispectrum.csv
,healthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.581325700270109,0.011247517349342344,0.07517131844691363,0.0,381.5805128501048,8.35497754623555,9.0,54.0,,,,,,,,,,,113h_denoised_bispectrum_features.csv
,healthy,-145.37271612009033,86.71201512144505,-9.415945270027828,43.56030756553528,-17.40700971541508,21.88231249433392,2.342134608041087,4.66788301573957,-3.520517334072867,14.409443110842783,-9.631945657666057,9.359530083082564,0.8065496834485895,5590.376404876712,5067.932482706069,10920.37579957356,0.0839541827691897,0.0612286552786827,8.997015851055073e-06,0.0103932734659807,5.75145058957287e-05,0.0536064429981272,0.0002933726894717,0.0579451269203264,-0.0014026255303611,0.148130351115157,0.0603819638490676,0.0736815109848976,,,,,,,,,,,,,,,,,,,113h_denoised_engine_features.csv
,healthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.571802266006458e-05,114h_denoised_bispectrum.csv
,healthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850.9631223417017,0.025341566289283,3.562389282980455,0.0,838245.0052197409,1.8886232011944892,1.0,1.0,,,,,,,,,,,114h_denoised_bispectrum_features.csv
,healthy,-246.65046435863647,99.26624479392189,15.143890250700377,55.71140631090526,2.690858765667714,32.603470406740456,16.50376980468988,10.83872965742,9.24301000043394,17.101676804885212,-0.7513429423476631,10.631194315860586,6.443270559567865,3023.6567936047577,4290.470235653706,6821.361940298508,0.0195385377798507,0.15839284658432,-6.728154009615854e-06,0.0030033296659492,-2.24955751442017e-05,0.018135081174938,-0.0001832707519322,0.0166898365509639,0.0018549205133061,0.521511363207121,0.1529267579317093,0.2022238820791244,,,,,,,,,,,,,,,,,,,114h_denoised_engine_features.csv
